timestamp,load,coolant,stft,ltft,rpm,speed,intake,maf,throttle
2026-09-09 14:48:37,63.1 %,80 °C,99.2 %,-97.7 %,1373 RPM,5 km/h,6 °C,11.04 g/s,78.8 %
2026-09-09 14:48:39,70.6 %,80 °C,99.2 %,-97.7 %,1358 RPM,5 km/h,6 °C,9.31 g/s,83.9 %
2026-09-09 14:48:40,76.5 %,80 °C,99.2 %,-97.7 %,1465 RPM,5 km/h,6 °C,9.79 g/s,83.9 %
2026-09-09 14:48:42,73.7 %,80 °C,99.2 %,-97.7 %,1498 RPM,5 km/h,6 °C,10.27 g/s,86.7 %
2026-09-09 14:48:43,71.8 %,80 °C,99.2 %,-97.7 %,1545 RPM,6 km/h,6 °C,10.34 g/s,84.7 %
2026-09-09 14:48:44,75.7 %,80 °C,99.2 %,-97.7 %,1532 RPM,6 km/h,6 °C,10.11 g/s,89.8 %
2026-09-09 14:48:46,73.3 %,80 °C,99.2 %,-97.7 %,1579 RPM,6 km/h,6 °C,11.47 g/s,91.0 %
2026-09-09 14:48:47,72.9 %,80 °C,99.2 %,-97.7 %,1562 RPM,6 km/h,6 °C,10.18 g/s,89.8 %
2026-09-09 14:48:49,80.4 %,80 °C,99.2 %,-97.7 %,1605 RPM,6 km/h,6 °C,11.52 g/s,87.8 %
2026-09-09 14:48:50,85.1 %,80 °C,99.2 %,-97.7 %,1642 RPM,6 km/h,6 °C,10.88 g/s,95.7 %
2026-09-09 14:48:51,76.5 %,80 °C,99.2 %,-97.7 %,1583 RPM,6 km/h,6 °C,10.97 g/s,91.8 %
2026-09-09 14:48:53,85.9 %,80 °C,99.2 %,-97.7 %,1514 RPM,10 km/h,6 °C,9.94 g/s,98.8 %
2026-09-09 14:48:54,86.7 %,80 °C,99.2 %,-97.7 %,1542 RPM,10 km/h,6 °C,11.12 g/s,100.0 %
2026-09-09 14:48:56,83.5 %,80 °C,99.2 %,-97.7 %,1528 RPM,10 km/h,6 °C,10.75 g/s,94.9 %
