timestamp,发动机负载,冷却液温度,短期燃油修正,长期燃油修正,发动机转速,车速,进气温度,空气流量,节气门位置,运行时间
2026-09-09 19:22:07.593,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:08.106,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:08.607,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:09.111,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:09.626,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:10.127,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:10.639,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:11.143,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:11.657,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:12.172,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:12.687,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:13.202,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:13.716,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:14.219,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:14.723,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:15.227,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:15.732,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:16.235,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:16.747,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:17.248,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:17.753,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:18.266,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:18.769,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:19.283,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:19.785,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:20.289,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:20.793,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:21.296,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:21.797,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:22.311,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:22.825,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:23.327,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:23.841,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:24.343,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:24.843,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:25.358,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:25.873,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:26.387,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:26.899,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:27.414,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:27.929,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:28.445,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:28.960,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:29.460,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:29.964,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:30.477,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:30.989,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:31.503,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:32.019,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:32.533,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:33.036,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:33.551,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:34.056,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:34.571,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:35.071,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:35.572,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:36.083,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:36.596,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:37.100,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:37.607,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:38.113,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:38.616,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:39.122,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:39.627,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:40.143,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:40.647,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:41.148,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:41.663,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:42.165,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:42.671,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:43.186,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:43.688,22.0,80,,,870.0,4,,7.05,9.8,
2026-09-09 19:22:44.196,1.6,-36,,,256.0,120,,11.21,7.8,
2026-09-09 19:22:44.711,1.6,-36,,,256.0,120,,11.21,7.8,
2026-09-09 19:22:45.223,16.5,80,,,291.0,4,,10.97,7.8,
2026-09-09 19:22:45.732,16.5,80,,,1592.0,4,,10.76,4.7,
2026-09-09 19:22:46.234,16.5,80,,,1595.0,4,,10.76,4.7,
2026-09-09 19:22:46.734,13.7,80,,,1644.0,4,,11.06,3.9,
2026-09-09 19:22:47.235,19.6,80,,,1644.0,4,,11.04,0.8,
2026-09-09 19:22:47.739,19.6,80,,,1636.0,4,,11.06,0.8,
2026-09-09 19:22:48.245,15.7,80,,,1634.0,4,,11.82,0.0,
2026-09-09 19:22:48.747,14.9,80,,,1634.0,4,,11.79,0.0,
2026-09-09 19:22:49.248,14.9,80,,,1611.0,4,,10.79,0.0,
2026-09-09 19:22:49.762,20.0,80,,,1556.0,4,,10.06,0.0,
2026-09-09 19:22:50.274,18.4,80,,,1514.0,4,,10.25,0.8,
2026-09-09 19:22:50.789,18.4,80,,,1514.0,4,,11.18,0.0,
2026-09-09 19:22:51.294,17.6,80,,,1505.0,4,,10.53,0.0,
2026-09-09 19:22:51.810,16.9,80,,,1520.0,4,,11.39,0.0,
2026-09-09 19:22:52.315,14.9,80,,,1520.0,4,,11.11,0.0,
2026-09-09 19:22:52.830,19.2,80,,,1521.0,4,,11.48,2.0,
2026-09-09 19:22:53.343,11.8,80,,,1562.0,4,,11.49,2.7,
2026-09-09 19:22:53.844,19.6,80,,,1562.0,4,,10.36,0.8,
2026-09-09 19:22:54.358,12.5,80,,,1561.0,4,,11.66,3.9,
2026-09-09 19:22:54.872,16.9,80,,,1573.0,4,,11.49,5.9,
2026-09-09 19:22:55.385,21.6,80,,,1573.0,4,,11.63,3.9,
